id,managers_id
0,8232
1,1223
2,8235
3,1226
4,2203
5,8232
6,2224
7,2212
8,1209
9,3228
10,8232
11,998
12,2210
13,8234
14,1233
15,2202
16,8235
17,1232
18,8207
19,2221
20,8212
21,998
22,1208
23,2233
24,5249
25,1202
26,1233
27,2200
28,2210
29,2223
30,1206
31,998
32,2224
33,1218
34,6249
35,8229
36,3233
37,8202
38,8211
39,1222
40,8234
41,2218
42,2206
43,8222
44,8209
45,8230
46,3216
47,1235
48,2218
49,1209
50,8217
51,2222
52,2229
53,3205
54,3215
55,2234
56,2226
57,2203
58,1222
59,2212
60,3213
61,2235
62,1223
63,1226
64,8225
65,1223
66,3225
67,2209
68,1227
69,8214
70,8204
71,1213
72,1223
73,8234
74,3249
75,3233
76,8206
77,3202
78,2203
79,1230
80,2209
81,998
82,3214
83,1223
84,8249
85,2234
86,2200
87,2232
88,2215
89,3205
90,8209
91,8217
92,8212
93,1206
94,2229
95,2218
96,3207
97,8233
98,2216
99,1212
100,2223
101,8211
102,1210
103,8208
104,8224
105,8210
106,1231
107,1212
108,3229
109,1232
110,8233
111,3226
112,3203
113,1215
114,8211
115,1210
116,2231
117,2213
118,8210
119,3206
120,8220
121,3218
122,3213
123,1213
124,3231
125,3209
126,3207
127,8230
128,2211
129,8214
130,1203
131,3201
132,3228
133,1227
134,8231
135,1208
136,1231
137,3221
138,2234
139,2214
140,8233
141,8227
142,1220
143,8234
144,2210
145,3200
146,3211
147,3223
148,2220
149,8222
150,2206
151,1214
152,8230
153,2214
154,3220
155,3212
156,2234
157,1216
158,3234
159,2205
160,1223
161,1216
162,8213
163,3216
164,3221
165,2200
166,3219
167,8220
168,1200
169,3218
170,8235
171,2224
172,3233
173,8227
174,1206
175,2234
176,3211
177,8228
178,3209
179,2223
180,2202
181,8204
182,8232
183,8223
184,1204
185,3225
186,1208
187,3234
188,2208
189,3235
190,8209
191,2234
192,1230
193,8227
194,3209
195,1215
196,3229
197,2215
198,1225
199,1215
200,8227
201,1233
202,3213
203,2201
204,3229
205,3222
206,3218
207,8225
208,1230
209,3205
210,2213
211,8207
212,2226
213,8223
214,2205
215,3225
216,1201
217,8210
218,2217
219,1224
220,8200
221,8209
222,1232
223,1217
224,3213
225,2216
226,1234
227,1222
228,2216
229,3221
230,2201
231,2204
232,1226
233,1223
234,8220
235,8209
236,3212
237,1207
238,8227
239,1225
240,3230
241,3232
242,3211
243,3206
244,1204
245,3212
246,1225
247,2235
248,2206
